NM_BAIRRO;NM_LOGRADO;NU_NUMERO;NM_COMPLEM
MANGUINHOS;RUA GUARARI;18;
ROCINHA;ESTRADA DA GAVEA;372;DBTB
MANGUINHOS;RUA SAO JOSE;61;
MANGUINHOS;RUA JACINTO;96;
ROCINHA;TRAVESSA 34;;QUADRA 14
ROCINHA;RUA DONANA 400 CASA 137;;CASA 137
ROCINHA;RUA DO VALAO;19;CASA 05
ROCINHA;TRAVESSA GREGORIO 15/ 25;;
ROCINHA;RUA DOIS BECO 93;;CASA 1501
ROCINHA;RUA DOIS 56;;
ROCINHA;RUA PAULO BRITO S/N;;
ROCINHA;ESTRADA DA GAVEA 520;;
ROCINHA;RUA DOIS;151;CASA 311
ROCINHA;ESTRADA DA GAVEA;461;201
ROCINHA;TRAVESSA CAMPO ESPERANÃA;41;301
ROCINHA;ESTRADA DA GAVEA 25;25;
ROCINHA;RUA OMEARAMA 415 / 4  301;;
ROCINHA;VILA ROUPA SUJA TRAVESSA 14;20;
ROCINHA;RUA DOIS;27;TRAVESSA 20   CASA 1
ROCINHA;RUA DO CANAL TRAVESSA 1;;10 A CASA 05
ROCINHA;RUA 4;47;CA 14   APTO
ROCINHA;RUA 04 BECO 04 43;;22 B CASA 04
ROCINHA;RUA 02;51;
ROCINHA;TRAVESSA UNIAO 1/107;;
ROCINHA;ESTRADA DA GAVEA;553;ESTRADA DA GAVEA   CASA
ROCINHA;RUA II;16;
ROCINHA;ESTRADA DA GAVEA 441;441;CASA  24
ROCINHA;RUA DA MATA;16;A
ROCINHA;RUA 1 TRAVESSA TREZE;41;TRAVESSA 11
ROCINHA;ARUA 03 TRAVESSA 10 N? 18;;
ROCINHA;RUA 3 TRAVESSA 10 50 CASA 5;;
ROCINHA;ESTRADA DA GAVEA RUA 4;;BECO 18 CASA 04
ROCINHA;TRAVESSA GREGORIO;10;5? BOEBS
MANGUINHOS;RUA TITITI;11;
MANGUINHOS;RUA LEOPOLDO BULHOES;890;SVB 2A ,SWCFTC 3B ECUC 5
MANGUINHOS;BECO DA COOPERAÃ?O;13;FUNDOS
ROCINHA;ESTRADA DA GAVEA;461;CASA  PERTO CASA DA PAZ
ROCINHA;TRAVESSA UM;7;BQU 312
MANGUINHOS;RUA OITO;12;CASA   QUADRA 8
MANGUINHOS;RUA ROSA DA FONSECA;106;
MANGUINHOS;RUA DESSESEIS;25;QUADRA 15
MANGUINHOS;RUA LEOPOLDO BULHOES;800;
MANGUINHOS;RUA SAO JORGE;12;SOBRADO
MANGUINHOS;RUA LEOPOLDO BULHOES 800 R 1 QD 2;22;DBTB
MANGUINHOS;RUA LEOPOLDO BULHOES;700;QD 33 CASA 07
MANGUINHOS;RUA DA ALEGRIA;5;
MANGUINHOS;RUA MARANHAO;55;
MANGUINHOS;RUA SAO CRISTOVAO;6;PARQUE JOAO GOULART
MANGUINHOS;RUA NOVA CAP;35;
MANGUINHOS;RUA 517 CASA 7;7;APT 102
MANGUINHOS;RUA HERIVENTON MARTINS;23;FUNDOS
ROCINHA;RUA SAO JORGE;75;
ROCINHA;RUA IV;129;APARTAMENTO 201
ROCINHA;RUA DO VALADAO;3;
ROCINHA;TRAV. DO VALE;23;
ROCINHA;RUA MARIA DO CARMO;10;
ROCINHA;ESTRAD  DA GAVEA;259;
ROCINHA;RUA DO CANAL  TRAVESSA 16;408;CASA
ROCINHA;ESTRADA DA GAVEA TRAVESSA 11;165;
ROCINHA;RUA DINEIA 738 B;738;B
ROCINHA;ESTRADA DA GAVEA;371;
ROCINHA;ESTRADA DA GAVEA RUA DOIS;389;CASA 12
ROCINHA;TRAVESSA FLORES;;16  201
ROCINHA;RUA DO CANAL;;BECO 2   CASA 18
ROCINHA;RUA DOIS 56 CASA 05;;
ROCINHA;TRAVESSA SAMANTA 40 B;;
ROCINHA;VILA ROUPA SUJA TRAVESSA DEZ 45 B;;CASA 15
ROCINHA;ESTRADA DA GAVEA RUA QUATRO CASA 03;;
ROCINHA;VILA RAIZ;;TRAVESSA 13 CASA 30
MANGUINHOS;RUA SAO GERALDO;15;
MANGUINHOS;RUA SANTANA DO CRUZAMENTO;;CASA 67
MANGUINHOS;16 QD 15 C 38;;DBTB
MANGUINHOS;RUA NAZARE;36;
MANGUINHOS;RUA GREGORIO DE SA;12;
MANGUINHOS;RUA  IZA;11;
ROCINHA;BECO 1 BLOCO 22 Y;;
ROCINHA;RUA DA MATA;;CASA 15 A
ROCINHA;RUA DOIS BECO 30 CASA 40;;
ROCINHA;ESTRD. DA GAVEA  RUA 03;;CASA 28
ROCINHA;BECO PERNAMBUCO S/N;;
ROCINHA;RUA 4 TRAVESSA 1 4;;
ROCINHA;ESTRADA GAVEA;;TRAVESSA 17 4 CASA
ROCINHA;BECO E;;1:00 AM
ROCINHA;TRAVESSA KATIA;27;ROCINHA
ROCINHA;TRAVESSA PRIMAVERA;5;
ROCINHA;TRAVESSA OLIVEIRA;11;501
MANGUINHOS;RUA JACINTO;98;
ROCINHA;TRAVESSA ESPERANCA;5;
ROCINHA;ESTRADA DA GAVEA;453;CASA 10
ROCINHA;RUA 1 BRCO 01;;CASA 39
ROCINHA;TRAVESSA 60;22;
ROCINHA;RUA DOIS;45;BECO 2     CASA 45
ROCINHA;TRAVESSA DA LUZ;45;
ROCINHA;ESTRADA DA GAVEA 369 BC 95 CASA 31;;
MANGUINHOS;RUA 18 QD XXII;800;CASA 21
MANGUINHOS;RUA DA ORQUIDEA;42;
MANGUINHOS;RUA NAZARE;19;
ROCINHA;RUA RAIA 23 CASA 01 XG 1;;
MANGUINHOS;RUA CARLOS CHAGAS;67;SOBRADO
MANGUINHOS;RUA DR LUIZ GREGORIO SA;22;CASA FUNDOS
MANGUINHOS;RUA PERNAMBUCO;64;
ROCINHA;TRAV. ESPERANÃA;19;
ROCINHA;ESTRD. DA GAVEA;520;VILA VERDE
ROCINHA;RUA DO CANAL,BECO DO PERNAMBUCO;;CASA 32
MANGUINHOS;TRAVESSA 1 PROJETADA;17;LOTE 45 QUADRA 1
ROCINHA;RUA ATILA ROUPA SUJA;;TRAV. 13 24 APT 101
ROCINHA;TRAVESSA PALMAS;9;
MANGUINHOS;RUA AMELIA PINHEIRO;33;
MANGUINHOS;RUA SAO SEBASTIAO;10;SOBRADO
MANGUINHOS;RUA MARIANA;55;
MANGUINHOS;RUA SANTO IZIDORO;17;MURO
ROCINHA;RUA TRES;;BECO 80 CASA 14
MANGUINHOS;RUA MOISES;31;
MANGUINHOS;RUA JUPARA;706;CASA 20
MANGUINHOS;RUA ROSA DA FONSECA;199;
MANGUINHOS;RUA LEOPOLDO BULHOES;800;QUADRA 17 LOTE 14
ROCINHA;ESTRADA DA GAVEA BECO ZE FOGUETE;;S N
MANGUINHOS;QUADRA 38;5;
MANGUINHOS;RUA LEOPOLDO BULHOES;700;Q 18 CASA 4
MANGUINHOS;AV BRASIL RUA 2;613;SOBRADO
MANGUINHOS;RUA MANOEL RIBEIRO VASCONELOS;212;APT 405
MANGUINHOS;RUA LEOPOLDO BULHOES;700;QD 38   C 5  FDS
ROCINHA;RUA DO CANAL;30;
ROCINHA;RUA DOIS;1;
MANGUINHOS;RUA 19 QD 23;39;
MANGUINHOS;RUA FLAVIA;11;
MANGUINHOS;RUA FISCAL MONTEIRO;18;
MANGUINHOS;RUA CHICO BUARQUE DE HOLLANDA;15;CASA 4
MANGUINHOS;RUA DA PAZ;5;
MANGUINHOS;RUA MARANHAO;62;
MANGUINHOS;RUA QUADRA 35;;CASA 04
MANGUINHOS;ESTRADA DE MANGUINHOS;287;
MANGUINHOS;RUA HERIVILTON MARTINS;5;
MANGUINHOS;RUA SAO JOSE;50;
ROCINHA;RUA 4 TRAVESSA 34;39;CASA 1
MANGUINHOS;LEOPOLDO BULHOES;700;QUADRA 13 CASA 10
MANGUINHOS;AV. LEOPOLDO BULHOES;700;Q.18 CASA 3
MANGUINHOS;QUADRA 35;8;
ROCINHA;ESTRADA DA GAVEA;199;BECO A   TRAVESSA 25    CASA 0
MANGUINHOS;RUA AVENIDA NOVO RIO;10;DBTB
ROCINHA;RUA CANAL TRAVESSA 13;38;
ROCINHA;VILA VERDE RUA DA MATA;18;
MANGUINHOS;AVENIDA LEOPOLDO BULHOES;700;
ROCINHA;RUA UM;22;DBTB
MANGUINHOS;MANGUINHOS;2;CASA 09
MANGUINHOS;RUA NOSSA SENHORA DE FATIMA;64;
ROCINHA;RUA TRAMPOLIM 21 CASA 02;;
ROCINHA;VILA RAIZ TRAVESSA 9;100;CASA 02
ROCINHA;ESTRADA DA GAVEA;407;CASA 18
ROCINHA;RUA  QUATRO;36;TRAVESSA 3 CASA 08
ROCINHA;ESTRADA DA GAVEA;251;CASA 101
ROCINHA;RUA 2;;FDVD 43B
ROCINHA;ESTRADA DA GAVEA;363;CASA 12
ROCINHA;ESTRADA DA GAVEA;237;
MANGUINHOS;AV DOS DEMOCRATICOS;38;DBTB
ROCINHA;RUA DIONEIA;12;
ROCINHA;RUA 4 BECO 81 CASA  12 / 101;;
ROCINHA;RUA QUATRO;;CASA 02
ROCINHA;TRAVESSA FLORES;34;101
ROCINHA;TRAVESSA DR BENTO RUBAO;31;CASA 8 VILA VERDE
MANGUINHOS;RUA SAO PEDRO;6;
ROCINHA;RUA UM;;CAS A03
ROCINHA;ESTRADA DA GAVEA;199;CASA 26
ROCINHA;ESTRADA DA GAVEA;441;CASA 14
ROCINHA;ESTRADA DA GAVEA;199;CASA 26
ROCINHA;ESTRADA DA GAVEA;312;APT 401
ROCINHA;RUA DO CANAL;39;
ROCINHA;RUA DO RAIO;29;
ROCINHA;RUA DOIS;;CASA 12
ROCINHA;CAMINHO DO BOIADEIRO;3;
ROCINHA;RUA DOIS TRAVESSA 42 CASA 100;;
ROCINHA;TRAVESSA UNIAO;21;
ROCINHA;RUA DIONEIA;718;CASA 14
ROCINHA;ESTRADA DA GAVEA;160;CASA 16
ROCINHA;TRAVESSA AREAL;8;CASA
ROCINHA;BECO 01 TRAVESSA 25;855 B;
ROCINHA;ESTRADA DA GAVEA;523;SVB EB GPOUF 43,XKNC XGTFG
ROCINHA;RUA UM;215;TRAVESSA 13  CASA 2
ROCINHA;RUA UM;;TRAVESSA 48 110
MANGUINHOS;AV. LEOPOLDO BULHOES;3;
ROCINHA;RUA 4 TRAVESSA 10;20;APT 501
ROCINHA;RUA 4;;CASA 46
ROCINHA;TRAVESSA JORDAO;;CASA 08
ROCINHA;ESTRADA DA GAVEA;573;DBTB
ROCINHA;BECO 11;7;APT 301
ROCINHA;RUA DIONEIA;302;
ROCINHA;TRAVESSA DO VALE;32;
ROCINHA;RUA 1;;
ROCINHA;SERVIDAO LESTE;10;
ROCINHA;ESTRADA DA GAVEA 199;199;EMBAIXO DA PONTE   MORADOR DE
ROCINHA;ESTRADA DA GAVEA;523;
ROCINHA;RUA DOS DUZENTOS;1;SOBRADO
ROCINHA;RUA SERVIDAO LESTE;;CASA 9
ROCINHA;CAMINHO DO TERREIROS;14;CASA 01
ROCINHA;RUA QUATRO 58 CASA;;
ROCINHA;TRAVESSA GILGERIO;26;CASA 6
ROCINHA;TRAVESSA 42 CASA 07 RUA 2;;
ROCINHA;TRAVESSA CAMPO ESPERANCA;41;CASA 301
ROCINHA;ESTRADA DA GAVEA;477;CASA 11
ROCINHA;CAMINHO DO BOIADEIRO;9;APT 302
ROCINHA;ESTRADA DA GAVEA;S N;N? 523 RUA 02
ROCINHA;TRAVESSA 60;22;
ROCINHA;RUA DO CANAL;310;
ROCINHA;TRAVESSA KATIA;38;APTO 601
ROCINHA;RUA DOIS;;N? 98
ROCINHA;ESTRADA DA GAVEA - RUA II;33;CASA 01
ROCINHA;ESTRADA DA GAVEA;524;VILA VERDE CASA 17
ROCINHA;RUA DOIS - TRAVESSA 48;;CASA 02
ROCINHA;RUA 04 BECO 17 CASA 29;;
ROCINHA;TRAVESSA 42;100;
ROCINHA;VILA ROUPA SUJA;;TRAVESSA TREZE 6 APT 102
ROCINHA;RUA DO CANAL;;APT 201
ROCINHA;ESTRADA DA GAVEA;325;CASA 01
ROCINHA;ESTRADA DA GAVEA;;RUA 02 CAS 19
ROCINHA;PRACAS SKATE;1;SUBSOLO
ROCINHA;ESTRADA DA GAVEA RUA 2;;CASA 03
ROCINHA;RUA 1 DE JULHO 3 CASA 23;;
ROCINHA;RUA DOIS;109;
ROCINHA;RUA 02,TRAVESSA 17;30;CASA 02
ROCINHA;TRAVESSA UNIAO;47;103
MANGUINHOS;RUA LEOPOLDO BULHOES;700;QUADRA 24   CASA 3
ROCINHA;RUA 02 CASA 22;;
ROCINHA;ESTRADA DA GAVEA;524;CASA 01
ROCINHA;RUA TRES  33 CS;;
ROCINHA;TRAVESSA UNIAO;29;3
ROCINHA;TRAVESSA GREGORIO;14;BC A
ROCINHA;ESTRADA DA GAVEA;199;CASA 15 A
R%;RUA DOIS TRAVESSA 40;150;SB
ROCINHA;ESTRADA DA GAVEA;407;TRAVESSA 11
ROCINHA;ESTRADA DA GAVEA;199;RUA 9   FUNDOS
ROCINHA;RUA PROJETADA C  CASA 5;S N;
MANGUINHOS;QUADRA 20 CASA 09;9;
ROCINHA;RUA DOIS CASA 2;;
ROCINHA;ESTRADA DA GAVEA;454;CASA 201
MANGUINHOS;RUA SAO JOSE;6;
ROCINHA;RUA DAS FLORES;10;
MANGUINHOS;AVENIDA CANAL;28;
ROCINHA;TRAVESSA OLIVEIRA;28;
MANGUINHOS;RUA SAO JOSE;25;
ROCINHA;VILA RAIZ / TRAVESSA SEIS;45;SBD
MANGUINHOS;RUA SAO DANIEL;55;
ROCINHA;ESTRADA DA GAVEA,RUA DOIS;31;BLOCO 2 103
MANGUINHOS;RUA SAO DANIEL;55;
MANGUINHOS;AV DOS DEMOCRATICOS;856;
ROCINHA;RUA ROMA;7;COMPLEMENTO B
ROCINHA;RUA 2;210;DBTB
ROCINHA;RUA 2 ESTRADA DA GAVEA;178;CASA 06
ROCINHA;ESTRADA DA GAVEA RUA 03 CASA 01;;
MANGUINHOS;RUA JUVENAL;41;
MANGUINHOS;RUA JOSE MOREIRA PEQUENO;483;AP 407
ROCINHA;RUA 4;123;2
MANGUINHOS;RUA SETE;999;VI JOAO
ROCINHA;BECO VAZ;40A;
ROCINHA;BECO PAZ;40 A;CASA 4
MANGUINHOS;RUA POTERI;103;CASA 05
MANGUINHOS;RUA BAIXA SAPATEIRO;;BLOCO 60   CASA 20
MANGUINHOS;RUA SAO PEDRO;24;
MANGUINHOS;RUA SAO  CAETANO 02;2;
MANGUINHOS;RUA SAO DANIELE;54;
ROCINHA;ESTRADA  DA GAVEA;42;
ROCINHA;RUA DIONEIA;321;
ROCINHA;RUA DOIS;455;
ROCINHA;ESTRADA DA GAVEA;12;TRAVESSA ROMA APT 402
ROCINHA;VILA RAIZ TRAVESSA 1 BLOCO 03;;
ROCINHA;TRAVESSA UNIAO;35 V;
ROCINHA;VILA LYA TRAVESSA 07 45;;
ROCINHA;VILA ROUPA SUJA;19;
ROCINHA;TRAVESSA ESPERANCA;50;CASA 145
ROCINHA;RUA II TRAVESSA 48;55;APT 101
ROCINHA;TRAVESSA REAL;13;
ROCINHA;RUA 2 TRAVESSA 56 CASA 14;;CASA 14
ROCINHA;RUA 2 TRAVESSA 31 - 105;;
ROCINHA;RUA 04 - BECO 27;145;CASA 02
ROCINHA;TRAVESSA FLORES 36 CB;;
ROCINHA;ESTRADA DA GAVEA RUA 02 TRAVESSA 14 CASA 95;;
ROCINHA;RUA DOIS;36;CASA - BECO 2
ROCINHA;TRAVESSA UNIAO;29;
ROCINHA;RUA QUATRO;15 B;TRAVESSA TREZE
ROCINHA;RUA DOIS;19;TRAVESSA VINTE E SETE
ROCINHA;ESTRADA DA GAVEA;556;
ROCINHA;ESTRADA DA GAVEA;430;RUA QUATRO - CASA 55
ROCINHA;RUA DO CANAL TRAVESSA IX;3;CASA 04
ROCINHA;BECO 11;2  8A;
ROCINHA;TRAVESSA VALLE;20;
ROCINHA;TRAVESSA PRIMEIRO DE JULHO;13;
ROCINHA;RUA DO CANAL;35;
ROCINHA;ESTRADA DA GAVEA 326 CASA 01;326;CASA 01
ROCINHA;TRAVESSA ESPERANCA;14;
ROCINHA;ESTRADA DA GAVEA;2145;RUA III - CASA 26
ROCINHA;RUA UM;31;
%;RUA 01 TRAVESSA 19;;
ROCINHA;RUA 02;129;AOT 302
ROCINHA;RUA 02 BECO 104;;CASA 10
ROCINHA;RUA 02 TRAVESSA 16;78;
ROCINHA;RUA DO CANAL 39;39;301
ROCINHA;TRAVESSA GALILEIA;;CASA 03
ROCINHA;RUA TRAMPOLIM;5:00 AM;
ROCINHA;ESTRADA DA GAVEA;326;CASA 01
ROCINHA;ESTRADA DA GAVEA;250;CASA 65
ROCINHA;RUA 02 TRAVESSA 31    185   SB;185;SOBRADO
ROCINHA;ESTRADA DA GAVEA;425;
ROCINHA;RUA 4 BECO 81 CASA 02;;
ROCINHA;RUA 3 BECO;;CASA 04
ROCINHA;ESTRADA DA GAVEA;520;E FUNDOS
ROCINHA;TRAVESSA UNIAO;15;APT 301
ROCINHA;RUA ESCADAO CASA 16;;CASA 16
ROCINHA;RUA IV;11;4? ANDAR
ROCINHA;ESTRADA DA GAVEA;457;101
ROCINHA;ESTRADA DA GAVEA;486;CASA 15
ROCINHA;RUA II;;CASA 20
ROCINHA;RUA DO CANAL BC 11 LT 99;;
ROCINHA;RUA DOIS;361;DBTB
ROCINHA;TRAVESSA ROMA;26;APT 304
ROCINHA;RUA IV;160;TRAVESSA 18
ROCINHA;ESTRADA GAVEA;450;
ROCINHA;RUA 2 TRAVESSA 44;44;CASA 55
ROCINHA;RUA DO CANAL;39;
ROCINHA;RUA DOIS;125;CASA 11
ROCINHA;ESTRADA DA GAVEA;477;DBTB
ROCINHA;RUA ANALIA TRAVESSA 16;85;CASA
ROCINHA;VILA RAIZ TRAVESSA 06    35  CASA 02;;
ROCINHA;ESTRADA DA GAVEA;3;
ROCINHA;ESTRADA DA GAVEA;108;CASA
ROCINHA;TRAVESSA KATIA;21;301
ROCINHA;ESTRADA DA GAVEA RUA 21;96;
ROCINHA;TRAVESSA CAMPO ESPERANÃA;24;101
ROCINHA;ESTRADA DA GAVEA;S/N;
ROCINHA;TRAVESSA BARRA;413;CASA
ROCINHA;VILA ROUPA SUJA TRAVESSA 07 - 05;;
ROCINHA;RUA UM ESTRADA DA GAVEA 4;;
ROCINHA;ESTRADA DA GAVEA 454 BLOCO 1 APT 201;LOTE 2;BLOCO 1 APT 201 LOTE 22
ROCINHA;TRAVESSA SAMARITANA;10;DBTB
ROCINHA;ESTRADA DA GAVEA;160;CASA 07   A
ROCINHA;TRAVESSA PRIMAVERA;16;
ROCINHA;TRAVESSA ATLANTICA 3 D;;
ROCINHA;TRAVESSA ALEGRIA 2 E;;
ROCINHA;ESTRADA DA GAVEA;477;CIDADE NOVA
ROCINHA;RUA 01;;CASA 23
%;ESTRADA DA GAVEA;333;
ROCINHA;RUA VALAO;310;
%;ESTRADA DA GAVEA;;RUA I
ROCINHA;ESTRADA DA GAVEA;233;RUA UM
ROCINHA;BECO DE PAO;21;VILA VERDE
ROCINHA;TRAVESSA MESOPOTANIA;12;
ROCINHA;ESTRADA DA GAVEA 237;;
ROCINHA;VIA APE 16 / 304 BARCELOS;;
ROCINHA;RUA DIOCEIA;728;CASA 10
ROCINHA;ESTRADA DA GAVEA;;RUA 1 CASA 21
ROCINHA;ESTRADA DA GAVEA;375;RUA 02
ROCINHA;BECO DE PARNAMBUCO CASA 11;;FINAL DO VALAO
ROCINHA;RUA 2;156 A;
ROCINHA;TRAVESSA BOA ESPERANCA;42;
ROCINHA;VILA UM NOVE NOVE;170;CASA 03
ROCINHA;ESTRADA DA GAVEA RUA 02 BECO 104;;APT 101
ROCINHA;RUA DO CANAL;50;
ROCINHA;RUA 01 MACEGA;;
ROCINHA;RUA DA LADEIRA DA CACHOPA 101;101;
ROCINHA;RUA 4 BECO 4;;CAS A43
ROCINHA;TRAVESSA OLIVEIRA;11;401
ROCINHA;ESTRADA DA GAVEA 259 RUA 01 CASA 22;;
ROCINHA;RUA 03;56;IOGA
ROCINHA;RUA II;48;
ROCINHA;RUA SAO JOAO;24;SB
ROCINHA;TRAVESSA  MESOPOTANEA;27;201
ROCINHA;ESTRADA DA GAVEA;369;DBTB
ROCINHA;RUA SAO JOAO;24;
ROCINHA;VILA VERDE BECO DA PAZ CASA 3;;
ROCINHA;ESTRADA DA GAVEA;237;ESCADAO CASA 02
ROCINHA;RUA DOIS - CASA 10;;
ROCINHA;TRAVESSA SERVIDAO LESTE 25 CASA 301;;
ROCINHA;ESTRADA DA GAVEA;375;RUA 02
ROCINHA;RUA 02 BECO 02;102;
ROCINHA;RUA TRAVESSA DAS FLORES;19;302
ROCINHA;RUA DO CANAL;39;
ROCINHA;TRAVESSA UNIAO;29;RUA DO CANAL N?36
ROCINHA;TRAVESSA 1 DE MAIO;54;SOBRADO
ROCINHA;RUA 1 TRAVESSA 11;;CASA 26
ROCINHA;TRAVESSA GREGORIO;14;APT 302
ROCINHA;TRAVESSA SAMARITANA;23;
ROCINHA;VILA RAIZ TRAVESSA V;300;
MANGUINHOS;RUA MIRANDA;;CASA 60
MANGUINHOS;RUA AMARAL;15;CASA
MANGUINHOS;RUA DO PEDREGULHO;20;CASA
MANGUINHOS;RUA MARIANA;51;
MANGUINHOS;QUADRA 1 RUA 1 CASA 11 SOBRADO;;CASA
MANGUINHOS;RUA JOANA;5;
ROCINHA;RUA 02 CAS 18;;
ROCINHA;ESTRADA DA GAVEA;575;
MANGUINHOS;RUA MARANHAO;63;
MANGUINHOS;RUA 12;;QUADRA 12 CASA 04
ROCINHA;TRAVESSA ESPERANCA;19;
MANGUINHOS;AV VISCONDE DE NITEROI;405;
ROCINHA;TRAVESSA ALEGRIA;213;
ROCINHA;RUA QUATRO;S N;CASA 5 B   TRAVESSA 6
ROCINHA;RUA 04 S/N CA TB;;TRAVESSA 6
MANGUINHOS;RUA DEZ;10;
MANGUINHOS;VIAS PEDRAS;35;
ROCINHA;ESTRADA DA GAVEA 168;18;DBTB
MANGUINHOS;RUA LEOPOLDO BULHOES;800;
ROCINHA;RUA DOIS  - BECO 01 - CASA;6;6
MANGUINHOS;RUA SAO DANIEL;53;
MANGUINHOS;TRAVESSA UM;42;
ROCINHA;RUA 02;;BECO 1 CASA 6
ROCINHA;TRAVESSA DO VALE;4A;CASA 1
MANGUINHOS;AVENIDA DOM HELDER CAMARA;1390;SITUACAO DE RUA - ABRIGO LEAO
MANGUINHOS;AVENIDA DOM HELDER CAMARA;1390;SITUACAO DE RUA
MANGUINHOS;RUA DEMOCRATICOS;12;RUA MARIANA
MANGUINHOS;RUA MARIANA;1;
MANGUINHOS;AV DEMOCRATICOS;;PROXIMO TORRE CORREIA
MANGUINHOS;AV DOS DEMOCRATICOS;1298;EM SITUACAO DE RUA
MANGUINHOS;RUA MIRANDA - AV DOS DEMOCRATICOS;93;
MANGUINHOS;AV DOM HENDER CAMARA;;
MANGUINHOS;AV DOS DEMOCRATICOS;333;EM SITUACAO DE RUA
MANGUINHOS;MORADOR SITUACAO DE RUA;1234;MORADOR SITUACAO DE RUA
MANGUINHOS;;;MORADOR EM SITUACAO DE RUA
MANGUINHOS;RUA LEOPOLDO BULHOES;540;BLOCO 5 APT 202
MANGUINHOS;AV DOS DEMOCRATICOS;55;
ROCINHA;RUA UM TRAV 37;119;
MANGUINHOS;RUA LEOPOLDO BULHOES;;RUA 03 CASA 38
MANGUINHOS;RUA VINTE;;QUADRA 23 CASA 10
MANGUINHOS;RUA VINTE;;QUADRA 23 CASA 10
MANGUINHOS;RUA SZOBEL;20;
MANGUINHOS;RUA NANANA;;CASA B - EM SITUACAO DE RUA
ROCINHA;RUA 02;145;CASA 02
ROCINHA;RUA DO CANAL;20;
MANGUINHOS;RUA MANOEL FALCAO AMARANHAO;161;APT 503
ROCINHA;ESTRADA DA GAVEA;462;
ROCINHA;TRAVESSA DIONEIA;815;
MANGUINHOS;RUA NOVA 106 URANOS;;
ROCINHA;ESTRADA DA GAVEA;462;RUA MULTIDAO 17
ROCINHA;ESTRADA DA GAVEA RUA 1;259;
ROCINHA;RUA DIONCIA;815;
ROCINHA;TRAVESSA 41;;APT 42
ROCINHA;RUA TRES TRAVESSA 6 CASA 31;;
ROCINHA;RUA 04 TRAVESSA 29 60;;
ROCINHA;TRAVESSA JORDAO 4 A PAULA BRITO;;
ROCINHA;RUA IV;40;TRAVESSA 10
MANGUINHOS;RUA DA PASSAGEM;52;
ROCINHA;RA III TRAVESSA 13;85;
MANGUINHOS;RUA ISABEL;20;
MANGUINHOS;RUA MANOEL RIBEIRO VASCONCELO;20;APARTAMENTO 103
ROCINHA;TRAVESSA CAMPO ESPERANCA;23;CASA 03
ROCINHA;RUA DO CANAL;23;CASA
ROCINHA;RUA 1;4;TRAVESS 7
ROCINHA;RUA 1;4;TRAVESSA 7
MANGUINHOS;AV DOS DEMOCRATICOS;32 A;
ROCINHA;RUA DOIS;109;CASA 03
ROCINHA;RUA DO MATO;33;CASA 07
%;RUA MARTA;34;CASA 07
ROCINHA;TRAVESSA ESPERANCA;181;CASA 04
MANGUINHOS;RUA ISABEL;11;
MANGUINHOS;RUA JACINTO;5;
ROCINHA;RUA 01;26;DBTB
ROCINHA;RUA SERVIDAO LESTE;10;
ROCINHA;RUA SERVIDAO;10;
MANGUINHOS;RUA PERNAMBUCO;21;CHP2
MANGUINHOS;RUA PERNANBUCO;21;
ROCINHA;RUA UM;35;
ROCINHA;RUA 02 TRAVESSA 42;;
ROCINHA;ESTRADA DA GAVEA;523;
ROCINHA;RUA QUARENTA E UM B;81;
MANGUINHOS;AV DOS DEMOCRATICOS;28 A;APT 201
ROCINHA;ESTRADA DA GAVEA;523;RUA 2 CASA 30
ROCINHA;VIA APIA;4;
ROCINHA;VIA APHIA;4;
MANGUINHOS;RUA LUIZ GREGORIO DE SA;49;
MANGUINHOS;RUA MANOEL RIBEIRO VASCONCELOS;20;GR 1 AP 103
MANGUINHOS;RUA FISCAL MONTEIRO;14;CASA B
ROCINHA;BECO DA PAZ;19;VILA VERDE
MANGUINHOS;RUA PARANA;28;DBTB
MANGUINHOS;TRAVESSA SAO DANIEL;25;
MANGUINHOS;RUA ROSA DA FONSECA;32;SOBRADO
ROCINHA;TRAVESSA ROMA;11;SAO CONRADO
ROCINHA;TRAVESSA OITO;;
ROCINHA;AVENIDA NIEMEYER;112;CASA 17
ROCINHA;RUA 04 BECO 67 CASA 82;;
ROCINHA;RUA DOIS;10;582
MANGUINHOS;RUA MIRANDA;13;F
MANGUINHOS;RUA MIRANDA;S/N;
MANGUINHOS;RUA JOSE MOREIRA PEQUENO;571;APARTAMENTO 507
MANGUINHOS;RUA S ANIL;25;
MANGUINHOS;AV SUBURBANA;9;
MANGUINHOS;RUA SAO DANIEL;4;
ROCINHA;TRAVESSA DA ESCADA;15;
ROCINHA;TRAVESSA DA LUZ;8;
ROCINHA;ESTRADA DA GAVEA;168;CASA 18
ROCINHA;ESTRADA DA GAVEA;18;
ROCINHA;ESTRADA DA GAVEA;674;
ROCINHA;ESTRADA DA GAVEA;262;CASA 01
ROCINHA;RUA 2 BECO 102;;CASA 30
ROCINHA;RUA 02;;CASA 34
ROCINHA;TRAVESSA ESPERANCA;15;CASA 07
ROCINHA;RUA 03 BECO 10;;
MANGUINHOS;TRAVESSA GIL GRAFEE;16;CASA 3
ROCINHA;RUA 01;3;TRAVESSA 11
MANGUINHOS;TRAVESSA GILGRAT;6;ENTRADA 06 CASA
ROCINHA;TRAVESSA DO VALE LAGO CAMPINHO CACHOPA;;
ROCINHA;ESTRADA DA GAVEA;18;
